가수명,노래제목,발매일,가사,좋아요수,감정
정효빈,처음이라서,2019-04-16,떨어질 줄 몰랐던 너의 품도 잡은 손에 스치던 봄바람도 떨리던 입맞춤도 맞춰 걷던 걸음도 내겐 모두 처음이라서 고된 하루 끝을 토닥여 준 것도 작은 편지로 큰 눈물을 준 것도 벚꽃과 여름바다 단풍과 함박눈이 처음이라서 힘든가 봐 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 다 무뎌지는 날 언젠가 오겠지 그때까지만 더 아파해볼게 누군가를 위한 노랠 부른 것도 세상에 누군가를 자랑한 것도 너를 떠올리는 게 나를 떠올리는 일이 되는 게 익숙해져 버려서 나의 첫 사람이 내 첫사랑이 너라서 처음이라서 유난히 아픈가 봐 시간이 지나면 널 보며 웃는 날 언젠가 오겠지 그때까지만 더 아파해볼게 사실은 겁이 나 이젠 어딜 가도 너와의 추억만 있을까 봐 그래도 처음이라 힘든 거니까 더 아픈 거니까 처음엔 다 그런 거니까 고생했어 많이 행복했었어 너라서 다 너라서 유난히 좋았나 봐 시간이 지나면 먼 추억이 되어 언젠간 웃겠지 참 좋았어 네가 내 처음이라서 ,58777,sad
포맨 (4MEN),눈 떠보니 이별이더라,2017-10-24,분명 나는 꿈을 꾼 거다 눈 떠보니 이별이더라 휴대폰을 확인해 봤더니 다시 봐도 이별이더라 헛웃음만 흘러나왔고 두 다리는 풀려 버렸고 문득 스친 네 얼굴 생각나 눈물이 하염없이 쏟아지는데 대체 무슨 짓을 한 건데 엎질러진 물에 난 젖은 채로 꼼짝 못하고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 눈 떠보니 이별이더라 이건 절대 현실이 아니야 눈 감으면 꿈이 될 거야 애써 부정해봐도 이별이 맞잖아 눈물마저 말라버리고 네 이름만 중얼거리고 움직이지 못하고 웅크린 채 너만 외치고 그 수많은 이별 뒤에도 넌 분명히 사랑이었다 정말 내 옆에 있었잖아 늘 여기 있었잖아 네가 날 떠나가면 그냥 가버리면 이런 식이면 나 곤란한데 꿈만 같던 사랑도 다 이별하면 현실이야 알람 하나 없이 깨어나 한 번만 더 기회를 줘 다시 하면 잘할 텐데 내가 바보 같아 화가 나 참을 수가 없다 그 수많은 이별 뒤에도 당연하게 이별이 온다 정말 가슴을 찢어 놔도 네가 날 짓밟아도 나 아닌 딴 사람과 평생 사랑해도 나는 너 아니면 곤란한데 평생 나는 너 아니면 안 되는데 눈 떠보니 이별이더라 ,115695,sad
이우,내 안부,2019-07-16,내 소식 들었지 너와 헤어지고 참 많이 울고 힘들게 버티다 이해심이 많은 좋은 사람을 만나서 나는 잘 지내고 있어 그런데 이상해 아직 넌 힘들어한다는 얘길 전해 들으니 네가 좀 걱정돼 그녀에게 미안하지만 자꾸 네가 생각나 어떻게 지내 네 안부 참 궁금한데 날 잊고 행복하길 바랬는데 예쁜 사랑 하기를 바랬는데 잘해주지 못한 날 왜 잊지 못하니 들려오는 너의 안부 못 들은 척 지나갈걸 그게 안돼 지금 여자친구 힘들 때 내 곁으로 와 너의 기억을 하나씩 지워줬어 고맙게 나는 나쁜 놈인 가봐 고작 너의 안부에 가슴이 뛰고 왜 눈물이 나는 건데 날 잊고 행복하길 바랬는데 예쁜 사랑 하기를 바랬는데 잘해주지 못한 날 왜 잊지 못하니 들려오는 너의 안부 못 들은 척 지나갈걸 헤어짐을 말한 너를 미워도 하고 후회하며 지내기를 바랬어 널 잊고 행복하게 잘 살았는데 예쁜 사랑 다시 시작했는데 다 잊었다 생각하고 지내왔는데 들려오는 너의 안부에 결국 무너졌어 ,64527,sad
윤토벤,서툰 이별을 하려해 (Feat.전상근),2019-08-01,우리 이제 헤어지기로해 너도 알잖아 우린 충분했다는걸 이별이 무서워 자꾸 피해보지만 이젠 정말 끝인걸 우리 사랑이 우리 추억이 이젠 끝나가지만 함께한 기억은 내가 다 가져갈게 끝이란걸 알지만 끝이라고 안할게 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 혹시 그때의 서로를 조금더 이해했더라면 우린 조금은 달라졌을까 이제와서 이러는 내가 너무 이기적인가봐 내눈에 비친 네 모습이 날 나쁘게 만들어 나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래 우리의 최선은 여기까지인거같아 수고많았어 이젠 널 보낼게 같은 추억속에 우리를 이젠 보내줘야해 애써 그냥 웃으며 아무렇지 않게 널 보낼게 우리 이제 정말 이별을 하려해 많이 아프겠지만 많이 힘들겠지만 혹시 우리가 다시 만나게 되는 날이 다가오면 그땐 꼭 안아줘 많이 보고싶었다고 말해줘 ,81248,sad
사이로(415),우리 둘 사이로,2019-08-29,Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 아무렇지 않을 너는 이 맘 알고 있을까 두려워 널 보낼 때가 돼버린 걸까 이제 매일 헤매이는 밤 잠들 때마다 미워지지만 괜찮아 하루에도 난 수백 번 고민해 너 없을 때에도 그날 너에게 전할 얘기가 나를 자꾸 괴롭히는 걸 내일이면 다 지워버려야지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 네가 없는 나의 하루는 어떨진 몰라 근데 자꾸만 내 맘이 조금씩 나도 모르게 흘러가는 걸 그저 서롤 힘들게 굴지 않아도 되는 날에 행복하길 바래 하루에도 난 수백 번 고민해 같이 있을 때에도 지금 너에게 전할 얘기가 너를 더 아프게 하는 걸까 내일이면 다 지워낸 뒤겠지 이젠 이번에는 널 다 잊을 수 있을까 Forget me close your eyes Forget me close your eyes 돌아보지 않을 거야 나 이제 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 그날이 그립겠지만 잊을 수 없게 됐지만 이제 돌이킬 수 없는 날이 됐지만 같은 시간 속 우린 다른 하룰 그리워하며 흘러가겠지 I just wanna get away with it Forget me close your eyes Forget me close your eyes 같이 나눈 그 순간은 눈 감으면 잊혀질까 Forget me close your eyes Forget me close your eyes woo leak out 우리 둘 사이로 ,5998,sad
펀치 (Punch),안녕 내 전부였던 너,2021-03-10,안녕 안녕 이제 인사를 해야지 너와 나의 이별인데 아니 아니 나는 그게 안될것 같아 너를 보내는 일 영활보고 밥을 먹는 일도 손을 잡고 거릴 걷는 일도 앞으로는 혼자란 사실에 그게 나를 울게 만드는걸 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 사실 사실 너도 많이 힘들었겠지 이별을 말하기 조금만 더 참을순 없었니 한번만 더 기횔 줄 순 없니 너에게 난 말하지 못했어 좋은 기억 마저 사라질까봐 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 너무 아파서 소리도 낼 수 없어 너를 어떻게 나 잊겠니 제발 이 말만 듣고 가 진심을 다해 사랑했단 말 잊으라는 건 못해 난 그냥 이게 편해 미안 내 사랑 ,14135,sad
주보라,네가 없다 (Without You),2013-02-19,서툰 작별이었는지 아련한 슬픔 속에 눈물이 멈추질 않아 너무나 어렸던 걸까 내 이기적임에 너를 보내고 말았던 걸까 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 서툰 사랑이었을까 나 항상 너에게 없는 사람처럼 느껴질때가 많았어 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 이미 뱉어버린 작별인사 안에서 우리 사랑했던 그 기억들만 아침마다 듣던 네 목소린 이제 어제처럼 오늘도 나에게 널 사랑한다 할 것만 같은데 들리지 않아 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는걸까 내 마음을 알 수 없는게 더 아파 ,2948,sad
송하예,니 소식,2019-05-11,그때의 우리 사랑 뜨겁고 치열했는데 끝나보니 남는건 미움뿐 몇번의 계절을 더 보내야 괜찮아 질까 미련이 듬뿍 남은 하루를 보내 친구들과 통화에 우연히 들은 니 소식 다른 사랑을 시작해 잘 지낸다고 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 괜한 걱정을 했나봐 나만 힘든가봐 너도 내 소식을 전해 들었으면 좋겠어 아직은 좀 힘들어 한다는 미안한 마음갖고 가끔씩 날 생각해줘 그래야 내 맘이 좀 편할거 같아 니옆에 다른 사람 있다는게 참 낯설어 뭔지 모를 서운함은 이기적인 거니 한땐 소중했었고 많이 사랑했었던 우리둘은 이젠 남이 됐고 모르는 사람이야 넌 완벽히 잊었나봐 이렇게 넌 잘사는데 나만 끝을 미뤘나봐 나만 그랬나봐 솔직한 맘을 말하면 좋은 사랑 안했으면 해 가슴아프게 지내길 바랬어 너는 행복하겠지 많이 설레이겠지 나 없이도 웃는 니 모습에 이제야 실감이나 넌 완벽히 떠났나봐 확실히 날 떠났나봐 난 니가 너무 미워져 행복하지 말아줘 잘지내지 말아줘 좋은 사람 만나 다행이란 말은 거짓말이야 네 소식 들은 그날밤 펑펑 울다가 밤을 샜어 늦어버린걸 알지만 어쩔수 없나봐 ,195103,sad
펀치 (Punch),Done For Me,2019-08-18,지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 깨끗이 지워질 수 있을까 널 벗어날 수 있을까 사랑했던 기억도 다 비워낼 수 있을까 더 이뤄질 수는 없어 난 다가갈 수 없어 미친 듯이 뛰어가 너 없는 곳에 가 사랑은 갔고 남겨진 추억들은 아팠고 네가 내게 남겨줬던 기억은 가시가 됐고 다 사라졌으면 해 모두 지워졌으면 해 나 쉴 수 있게 널 떠날게 가질 수 없는 너란 걸 알고 있어 보낼게 너와의 기억 모두 다 버릴게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 나의 기억에서 떠나가줘 너의 추억들도 가져가 줘 지워줘 너의 그리움까지도 그리워도 그립지는 않게 모든 순간들을 잊어볼게 다 잊을게 너의 작은 흔적까지도 지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 너를 떠날 수밖에 멀어질 수밖에 없으니까 이런 나를 제발 용서해줘 언젠가는 우리 다시 만날 수 있기를 done for me done for me ,100916,sad
MSG워너비(M.O.M),바라만 본다,2021-06-26,내가 너라면 다 알아볼 텐데 널 위할 사람 찾아낼 텐데 지난 오랜 시간 너의 그 곁을 지켜온 나라는 걸 내가 너였다면 참 행복할 텐데 한 사람을 다 가졌으니까 둔한 바보도 눈치챌 그 사랑을 너만 왜 모르니 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 네가 나라면 더 참 아팠을 텐데 슬픈 역할은 내가 맡을게 웃는 모습만 보이며 살아가 줘 내가 볼 수 있게 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 한 걸음 더 다가갈까 더 가까이 네게 갈까 OH 어제보다 더 내일 더 널 사랑해 I’ll make you love me someday 혼자 바라고 바라만 보다 울컥 그리움이 솟는다 바보 같은 맘에 하지 못한 그 한마디 널 사랑한다는 말 얼마나 그리고 그리워해야 내 맘 너의 곁에 닿게 될까 매일 하루 종일 너의 생각에 사무쳐 너무 보고 싶다 ,179238,sad
김재환,빛이 되어줘,2021-09-26,익숙한 밤과 수많은 계절들 한없이 길게 느껴질 때 그리운 마음에 울고만 싶었던 걸까 기다리고 기다렸어 흐릿하게만 보여 빛이 되어줘 모든게 눈부실 만큼 그대 더이상 아프지 않도록 변하지 않는 별빛처럼 우릴 환하게 비춰줘 빛을 보여줘 조금 더 선명해지게 그대 영원히 머물 수 있도록 잠들지 않을 꿈속에서 우리 지금 이대로 두 손을 꼭 잡을테니 어쩌면 너는 알고 있었을까 이유가 있던 내 그림자 차갑던 하루를 비추는 햇살이 되어 따뜻하게 감싸줬어 이제는 네가 보여 빛이 되어줘 모든게 눈부실 만큼 그대 더이상 아프지 않도록 변하지 않는 별빛처럼 우릴 환하게 비춰줘 빛을 보여줘 점점 더 선명해지게 내게 영원히 빛날 수 있도록 잠들지 않을 꿈결처럼 우리 지금 이대로 두 손을 꼭 잡을테니 ,14417,sad
이승기,하기 힘든 말,2006-02-03,우리 헤어지지만 다신 너를 볼 수 없지만 마지막으로 부탁 하나 할께 눈물 맺힌 너에게 나 할 수 있는 건 편하게 너를 보내주는 일 나와 닮은 너에게 나완 다른 그에게 조금은 어색하고 하기 힘든 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 오래 전에 알았어 나 아닌 사람이 니 맘을 모두 가져버린 걸 나와 닮은 너에게 나완 다른 그에게 아무리 애를 써도 하기 싫은 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 미안해 하진마 후회하진 마 나보다 그가 훨씬 더 잘해줄꺼야 그의 품에 안겨서 까맣게 나를 잊고서 늘 웃고 사는게 날 위한 이별이니까 괜찮아질꺼야 익숙해질꺼야 혼자하는 사랑 힘이 들어도 떠나가는 너를 돌아서는 너를 몰래 내 가슴속에 두면 돼 ,16688,sad
황인욱,이별주,2019-11-01,오늘이 지나면 널 지워야겠지 흔들리는 이 술잔이 너의 마음 같아서 아무 말 안 해도 난 알 수가 있어 오늘 넌 이별을 말할 것 같아 하필 왜 이 포장마차니 우리 처음 만났던 이 자리에서 왜 눈물 나게 해 이 술잔을 마시고 나면 넌 이별을 말할 것만 같아 제발 이러지 마 나를 떠나지 마 다 소용없는 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 하필 왜 이 포장마차니 우리 매일 만났던 그 자리에서 왜 눈물 나게 해 이 술잔을 마시고 나면 넌 이별을 말할 것만 같아 제발 이러지 마 나를 떠나지 마 다 소용없는 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 이 한잔의 술잔을 마시면 난 너 없이 살아갈 수 있을까 이제 우린 남이 되겠지 이 술잔을 마시고 나면 이 한잔에 끝낼 거라면 넌 사랑을 말하면 안 되잖아 그때 왜 그랬어 날 왜 사랑했어 어차피 남이 될 거잖아 이 술잔을 마시고 나면 너 혼자만 끝인 거잖아 우리가 왜 헤어져야 해 이 술잔을 비우지 마 제발 ,60822,sad
포스트맨(Postmen),신촌을 못가,2013-01-21, 신촌을 못가 한번을 못가 혹시 너와 마주칠까 봐 널 보면 눈물이 터질까 봐 친구들 한잔 하자고 또 꼬시며 불러대도 난 안가 아니 죽어도 못가 자주 갔었던 좋아했었던 사거리 그 포장마차가 그립다 니가 너무 그립다 새빨개진 그 얼굴로 날 사랑한다 했었던 그곳엘 내가 어떻게 가니 오늘 그 거리가 그리워 운다 또 운다 아직 많이 보고 싶나 봐 너도 어디선가 나처럼 울까 또 울까 그런 너를 마주칠까 신촌을 못가 데려다주던 아쉬워하던 막차 버스 안에서 우리 좋았지 우리 너무 좋았지 뒷자리 창가에 앉아 호 입김 불며 그리던 니 이름 그리고 널 사랑해 그걸 어떻게 잊니 오늘 그 거리가 그리워 운다 또 운다 아직 많이 보고 싶나 봐 너도 어디선가 나처럼 울까 또 울까 그런 너를 마주칠까 신촌을 못가 우리 둘만 있어도 좋았잖아 종일 땀이 찼던 두 손 뜨겁던 입맞춤도 다 거기 있잖아 다 살아 있잖아 오늘 이 노래를 부른다 Good bye and Good bye 이젠 너를 놓아 줄까 봐 마지막으로 널 부른다 사랑해 널 사랑해 너를 만난 그 곳은 참 행복했었다  ,117883,sad
임재현,사랑에 연습이 있었다면 (Prod. 2soo),2018-09-25, 사랑에 연습이 있었다면 우리는 달라졌을까 내가 널 만난 시간 혹은 그 장소 상황이 달랐었다면 우린 맺어졌을까 하필 넌 왜 내가 그렇게 철없던 시절에 나타나서 그렇게 예뻤니 너처럼 좋은 여자가 왜 날 만나서 그런 과분한 사랑 내게 줬는지 우리 다시 그때로 돌아가자는게 그게 미친말인가 정신나간 소린가 나는 더 잘 할 수 있고 다신 울리지 않을 자신있는데 그게 왜 말이 안돼 시간이 너무 흘러 알게되었는데 너를 울리지 않고 아껴주는법 세월은 왜 철없는 날 기다려주지 않고 흘러갔는지 야속해 지금 너 만나는 그에게도 내게 그랬던 것처럼 예쁘게 웃어주니 너처럼 좋은 여자의 사랑 받는 그 남자 너무 부러워 넌 행복하니 니옆에 지금 그 남자가 있는게 우리 다시 맺어질수가 없는 이윤가 나는 더 잘 할 수 있고 다신 울리지 않을 자신있는데 그게 왜 말이 안돼 시간이 너무 흘러 알게 되었는데 너를 울리지 않고 아껴주는 법 세월은 왜 널 잊는 법을 알려주지 않고 흘러갔는지  ,218028,sad
길구봉구,바람이 불었으면 좋겠어,2014-01-03, 웃는 모습이 너무 아름다운  그런 너를 기억하면서 괜찮아 넌 잘할거라 말하던  또 그런 너를 기억하면서 뭐가 그리 내 눈에 깊이 박혔는지 너무 선명해서 이젠  보낼수가 없잖아 바람이 불었으면 좋겠어 널 잊어내도록 널 씻어 내도록 바람이 불었으면 좋겠어 남은  마음까지도 멀리멀리  날아갈 수 있도록 어느새 너의 얼굴을 떠올려 또 그런 나를 바라보면서 뭐가 그리 내눈에 깊이 박혔는지 너무 선명해서 이젠  보낼수가 없잖아 바람이 불었으면 좋겠어 널 잊어내도록 널 씻어 내도록 바람이 불었으면 좋겠어 남은 마음까지도 멀리멀리 날아갈 수 있도록 엉켜버린 나의 마음이 다시금 너로 제자릴 찾아가 워 머릴 흔들어봐도 억지로 다른 생각을 해도 나는 너만 내얘길 들었으면 좋겠어 닿을 수 있도록 널 볼 수 있도록 내얘길 들었으면 좋겠어 흔들 수 있도록 날 볼 수 있도록 바람이 불었으면 좋겠어 내 맘 전해지도록 너에게로 다시 갈수있도록  ,128643,sad
정승환,눈사람,2018-02-19, 멀리 배웅하던 길 여전히 나는 그곳에 서서 그대가 사랑한 이 계절의 오고 감을 봅니다 아무 노력 말아요 버거울 땐 언제든 나의 이름을 잊어요 꽃잎이 번지면 당신께도 새로운 봄이 오겠죠 시간이 걸려도 그대 반드시 행복해지세요 그 다음 말은 이젠 내가 해줄 수 없어서 마음속에만 둘게요 꽃잎이 번지면 그럼에도 새로운 봄이 오겠죠 한참이 걸려도 그대 반드시 행복해지세요 끝 눈이 와요 혹시 그대 보고 있나요 슬퍼지도록 시리던 우리의 그 계절이 가요 마지막으로 날 떠올려 준다면 안 되나요 다시 한 번 더 같은 마음이고 싶어 우릴 보내기 전에 몹시 사랑한 날들 영원히 나는 이 자리에서  ,226935,sad
임영웅,그대라는 사치,2021-07-06, 그림 같은 집이 뭐 별거겠어요 어느 곳이든 그대가 있다면 그게 그림이죠 빛나는 하루가 뭐 별거겠어요 어떤 하루던 그대 함께라면 뭐가 필요하죠 나 그대가 있지만 힘든 세상이 아니라 힘든 세상 이지만 곁에 그대가 있음을 깨닫고 또 감사해요 또 기도해요 내 곁에서 변치 않고 영원하길 기도 드리죠 무려 우리 함께 눈뜨는 아침과 매일 그댈 만나 돌아오는 집 앞 나 만의 그대 나의 그대 내겐 사치라는걸 과분한 입맞춤에 취해 잠이 드는 일 그래 사치 그댄 사치 내겐 사치 행복이란 말이 뭐 별거겠어요 그저 그대의 잠꼬대 마저 날 기쁘게 하는데 사랑이란 말이 뭐 별거겠어요 그저 이렇게 보고만 있어도 입에서 맴돌죠 나 그대가 있지만 거친 세상이 아니라 거친 세상 이지만 내겐 그대가 있음을 깨닫고 또 다짐하죠 또 약속하죠 그대 곁에 변치않고 영원하길 약속할게요 무려 우리 함께 눈뜨는 아침과 매일 그댈 만나 돌아오는 집 앞 나 만의 그대 나의 그대 내겐 사치 라는걸 과분한 입맞춤에 취해 잠이 드는 일 그래 사치 그댄 사치 내겐 사치 내가 상상하고 꿈꾸던 사람 그대 정말 사랑하고 있다고 나 말 할 수 있어서 믿을 수 없어 정말 믿을 수 없어 내가 어떻게 내가 감히 사랑할 수 있는지 말야 무려 우리 함께 잠드는 이 밤과 매일 나를 위해 차려진 이 식탁 나 만의 그대 나의 그대 내겐 사치 라는걸 과분한 입맞춤에 취해 잠에 드는 일 그래 사치 그댄 사치 내겐 사치  ,43418,sad
잠골버스,못해준 게 많아서,2022-02-05, 몇 달이 지나가도 참 보고 싶은 너 아름다웠지 우리의 추억들 지나간 시간만큼 더 보고 싶어져 소용이 없단 걸 이젠 알고 있지만 사랑했고 미안했었어 익숙해진 마음에 잠시 미쳤었나 봐 너에게 못해준 게 많아서 미련이 남았나 봐 이기적이게 또 너에게 전화를 걸어 눈치 없는 거 알지만 정말 후회하고 있어 미안해 내가 미안해 진심이야 예민했었나 봐 별것도 아니었는데 매번 난 그랬나 봐 서로 다른 것뿐인데 힘이 들었었나 봐 지겨웠었나 봐 너에게 못해준 게 많아서 미련이 남았나 봐 이기적이게 또 너에게 전화를 걸어 눈치 없는 거 알지만 정말 후회하고 있어 미안해 내가 미안해 진심이야 헤어지고 나면 마음이 더 커진다는 말 안 믿었었는데 정말 너에게 못해준 게 많아서 미련이 남았나 봐 이기적이게 또 전화를 걸어 눈치 없게 내 마음이 다시 너를 찾고 있어 미안해 내가 미안해 진심이야  ,9623,sad
V.O.S,잘 살고 있다,2019-12-02,한잔 술에 잊자 그만 나도 숨 좀 쉬자 제발 마치 주문처럼 매일 읊조렸던 넌 모르는 내 슬픈 혼잣말 친구들 통해 들은 네 소식 너무 잘 살고 있어 날 만날 때보다 더 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘 살고 있다 너처럼 두려워 듣기 싫던 네 소식 막상 듣게 되니 또 이별한 듯이 아파 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘살고 있다 너처럼 너 없는 많은 밤들이 혼자 버틸 날들이 아직 너무 많은데 가끔은 너 철없던 나의 장난에 입꼬리 올라가던 그 미소가 그리워 가진 건 없지만 널 가진 게 전부였어 그래서 무너졌나 봐 너밖에 없었으니까 언젠간 나도 나만 사랑해줄 사람 만나 잘 살고 싶다 너처럼 나도 그럴 수 있을까 ,38512,sad
빅마마,하루만 더,2021-06-24,하루만 더 우리 이별을 늦춘다면 어땠을까 그럴 일 없다는 걸 나는 알면서도 아직 널 보낼 수가 없나봐 한번만 나 이렇게 널 불러볼게 오늘까지만 그리워할게 끝이 보이지않아 내 사랑은 가슴깊이 이별을 남기고 새까맣게 흉터가 되어도 또 다시 너를 그리워해 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 잘 지내란 인사 못할 것 같아 오늘까지만 눈물 흘릴게 oh 혼자 남은 내 맘을 이해해줘 네 흔적이 그대로 남아서 내 입술이 추억을 부르고 여전히 너를 사랑한다 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 우리의 이별 끝에 아직도 서있어 지금도 네게 하고 픈 말 뜨겁게 널 사랑한다고 단 한순간도 못 보내 너 없는 세상이 너무나 아파 목이 메어와 정말 끝난거니 참 행복했었던 그때 우린 추억마저 사라지고 있잖아 ,58506,sad
아이유,첫 이별 그날 밤,2010-12-09,멍하니 아무 일도 할 일이 없어 이게 이별인 거니 전화기 가득 찬 너와의 메시지만 한참 읽다 읽다 너의 목소리 마치 들린 것 같아 주위를 둘러보면 내 방엔 온통 너와의 추억투성이 이제야 눈물이 수고했어 사랑 고생했지 나의 사랑 우리 이별을 고민했던 밤 서로를 위한 이별이라고 사랑했단 너의 말을 믿을게  혹시 너무 궁금해 혹시 너무 그리우면 꼭 한 번만 보기로 해  너의 뒷모습 사라질 때까지 봤어 마지막이라서 나 먼저 떠나면 어깨 들썩여 우는 내 뒷모습 싫어서 수고했어 사랑 고생했지 나의 사랑 우리 이별을 고민했던 밤 서로를 위한 이별이라고 사랑했단 너의 말을 믿을게  혹시 너무 궁금해 혹시 너무 그리우면 꼭 한 번만 보기로 해  좀더 예뻐져도 훨씬 더 세련되져도 후회하지 마 나를 놓친걸 누군가 딴 사람 만나면 내게 들리도록 막 자랑해줘  그때서야 끝낼게 내게 돌아올지 모를 너를 꿈꾸는 그 밤을 할말 끝 안녕 내 사랑     ,93381,sad
펀치 (Punch),이 밤의 끝,2018-05-31,널 보면 나와 달라 이렇게 난 네 생각뿐인데 널 사랑했던 만큼 아파야 하는 걸까 난 이 밤의 끝을 잡고 잠 못 드네 차가웠던 시간이 다 지나가면 따스한 저 햇살들이 날 비춰 줄까 결국 우린 끝난 사이라 하지만 돌아올 것만 같았어 널 보면 나와 달라 왜 나만 또 네 생각뿐인데 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠이 드네 네가 날 떠나고 후회한 나잖아 지금 넌 아무렇지 않을까 그 차가운 바람이 불어오는 게 난 무서워 다시 안을 수 있다면 난 다 할 텐데 너 없는 밤 아프게 지워가지만 내 맘은 널 그리워해 널 보면 나와 달라 누가 그래 넌 나와 같다고 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠 못 드네 I'll always be with you all night 함께 했던 추억뿐이지만 난 이제 너를 모두 지울래 내 맘이 너무 아파서 널 보면 나와 달라 아직도 난 널 사랑하나 봐 그래 너라도 정말 행복하면 좋겠어 난 이 밤의 끝을 잡고 잠 못 드네 째깍 째깍 초침 소리 시간은 또 흐르는데 넌 어디에 있니 ,47764,sad
